Cod_setor,domi1V001,domi1V002,domi1V003,domi1V004,domi1V005,domi1V006,domi1V007,domi1V008,domi1V009,domi1V010,domi1V011
420165305000005,65,65,65,0,0,60,0,0,5,0,0
420165305000006,14,0,0,0,0,0,0,0,0,0,0
420165305000007,65,0,0,0,0,0,0,0,0,0,0
420170305000001,718,718,619,0,99,506,15,148,22,27,0
420170305000002,566,566,533,0,33,462,0,86,1,17,0
420170305000003,595,595,576,0,19,493,6,82,4,10,0
420170305000004,707,707,671,2,30,536,23,115,4,23,6
420170305000005,877,877,838,0,36,632,41,142,35,26,1
420170305000006,785,785,760,0,25,592,7,168,1,17,0
420170305000007,847,847,847,0,0,700,0,105,30,12,0
420170305000008,849,843,836,0,7,674,0,143,1,25,0
420170305000009,513,509,503,0,6,441,0,61,0,7,0
420170305000010,115,0,0,0,0,0,0,0,0,0,0
420170305000011,3,0,0,0,0,0,0,0,0,0,0
420170305000012,651,651,651,0,0,611,0,25,3,12,0
420170305000013,186,186,186,0,0,140,9,1,22,14,0
420180205000001,650,650,631,0,19,462,0,164,4,17,3
420180205000002,530,529,514,0,15,381,29,81,21,17,0
420180205000003,318,318,318,0,0,281,10,12,3,7,5
420180205000004,393,382,382,0,0,288,28,9,1,51,5
420180205000005,261,260,260,0,0,168,13,24,2,53,0
420180205000006,43,43,43,0,0,34,0,7,0,2,0
420180205000007,3,0,0,0,0,0,0,0,0,0,0
420180205000008,54,54,54,0,0,40,0,11,0,3,0
420180205000009,34,0,0,0,0,0,0,0,0,0,0
420180205000010,54,54,54,0,0,41,2,11,0,0,0
